Account,VPC CIDR,Subnet,Subnet Range,TGW
,,,,
Network,10.0.0.0/22,,,
,,egress-vpc-private-sub-a,10.0.0.0/25,
,,egress-vpc-private-sub-b,10.0.0.128/25,
,,egress-vpc-private-sub-c,10.0.1.0/25,
,,egress-vpc-public-sub-a,10.0.1.128/25,
,,egress-vpc-public-sub-b,10.0.2.0/25,
,,egress-vpc-public-sub-c,10.0.2.128/25,
,,egress-vpc-tgw-endpoints-a,10.0.3.0/28,
,,egress-vpc-tgw-endpoints-b,10.0.3.16/28,
,,egress-vpc-tgw-endpoints-c,10.0.3.32/28,
,,,,
Shared Services,10.0.8.0/21,,,
,,ad-private-sub-a,10.0.8.0/25,
,,ad-private-sub-b,10.0.8.128/25,
,,ad-private-sub-c,10.0.9.0/25,
,,cust-bast-private-sub-a,10.0.9.128/25,
,,cust-bast-private-sub-b,10.0.10.0/25,
,,cust-bast-private-sub-c,10.0.10.128/25,
,,endpoint-sec-private-sub-a,10.0.11.0/25,
,,endpoint-sec-private-sub-b,10.0.11.128/25,
,,endpoint-sec-private-sub-c,10.0.12.0/25,
,,tgw-endpoints-sub-a,10.0.12.128/28,
,,tgw-endpoints-sub-b,10.0.12.144/28,
,,tgw-endpoints-sub-c,10.0.12.160/28,
,,,,
Control,10.0.16.0/21,,,
,,control-vpc-public-sub-a,10.0.16.0/25,
,,control-vpc-public-sub-b,10.0.16.128/25,
,,control-vpc-public-sub-c,10.0.17.0/25,
,,control-vpc-app-sub-a,10.0.17.128/25,
,,control-vpc-app-sub-b,10.0.18.0/25,
,,control-vpc-app-sub-c,10.0.18.128/25,
,,control-vpc-db-sub-a,10.0.19.0/25,
,,control-vpc-db-sub-b,10.0.19.128/25,
,,control-vpc-db-sub-c,10.0.20.0/25,
,,control-vpc-tgw-endpoints-sub-a,10.0.20.128/28,
,,control-vpc-tgw-endpoints-sub-b,10.0.20.144/28,
,,control-vpc-tgw-endpoints-sub-c,10.0.20.160/28,
,,,,
Production,10.0.24.0/21,,,
,,prod-vpc-public-sub-a,10.0.24.0/25,
,,prod-vpc-public-sub-b,10.0.24.128/25,
,,prod-vpc-public-sub-c,10.0.25.0/25,
,,prod-vpc-app-sub-a,10.0.25.128/25,
,,prod-vpc-app-sub-b,10.0.26.0/25,
,,prod-vpc-app-sub-c,10.0.26.128/25,
,,prod-vpc-db-sub-a,10.0.27.0/25,
,,prod-vpc-db-sub-b,10.0.27.128/25,
,,prod-vpc-db-sub-c,10.0.28.0/25,
,,prod-vpc-tgw-endpoints-sub-a,10.0.28.128/28,
,,prod-vpc-tgw-endpoints-sub-b,10.0.28.144/28,
,,prod-vpc-tgw-endpoints-sub-c,10.0.28.160/28,
,,,,
Staging,10.0.32.0/21,,,
,,stage-vpc-public-sub-a,10.0.32.0/25,
,,stage-vpc-public-sub-b,10.0.32.128/25,
,,stage-vpc-public-sub-c,10.0.33.0/25,
,,stage-vpc-app-sub-a,10.0.33.128/25,
,,stage-vpc-app-sub-b,10.0.34.0/25,
,,stage-vpc-app-sub-c,10.0.34.128/25,
,,stage-vpc-db-sub-a,10.0.35.0/25,
,,stage-vpc-db-sub-b,10.0.35.128/25,
,,stage-vpc-db-sub-c,10.0.36.0/25,
,,stage-vpc-tgw-endpoints-sub-a,10.0.36.128/28,
,,stage-vpc-tgw-endpoints-sub-b,10.0.36.144/28,
,,stage-vpc-tgw-endpoints-sub-c,10.0.36.160/28,
,,,,
Dev Test,10.0.40.0/21,,,
,,devtest-vpc-public-sub-a,10.0.40.0/25,
,,devtest-vpc-public-sub-b,10.0.40.128/25,
,,devtest-vpc-public-sub-c,10.0.41.0/25,
,,devtest-vpc-app-sub-a,10.0.41.128/25,
,,devtest-vpc-app-sub-b,10.0.42.0/25,
,,devtest-vpc-app-sub-c,10.0.42.128/25,
,,devtest-vpc-db-sub-a,10.0.43.0/25,
,,devtest-vpc-db-sub-b,10.0.43.128/25,
,,devtest-vpc-db-sub-c,10.0.44.0/25,
,,devtest-vpc-tgw-endpoints-sub-a,10.0.44.128/28,
,,devtest-vpc-tgw-endpoints-sub-b,10.0.44.144/28,
,,devtest-vpc-tgw-endpoints-sub-c,10.0.44.160/28,
,,,,
Disater Recovery,10.0.48.0/21,,,
,,dr-vpc-public-sub-a,10.0.48.0/25,
,,dr-vpc-public-sub-b,10.0.48.128/25,
,,dr-vpc-public-sub-c,10.0.49.0/25,
,,dr-vpc-app-sub-a,10.0.49.128/25,
,,dr-vpc-app-sub-b,10.0.50.0/25,
,,dr-vpc-app-sub-c,10.0.50.128/25,
,,dr-vpc-db-sub-a,10.0.51.0/25,
,,dr-vpc-db-sub-b,10.0.51.128/25,
,,dr-vpc-db-sub-c,10.0.52.0/25,
,,dr-vpc-tgw-endpoints-sub-a,10.0.52.128/28,
,,dr-vpc-tgw-endpoints-sub-b,10.0.52.144/28,
,,dr-vpc-tgw-endpoints-sub-c,10.0.52.160/28,
